Year;Month;CustomerId;Sales;Quantity
2018;1;7;1100;4
2018;1;10;0;4
2018;1;14;0;2
2018;1;84;0;2
2018;1;226;5804,5;3
2018;1;278;0;5
2018;1;318;113787,95;692
2018;1;446;0;2
2018;1;555;9280;14
2018;1;573;0;1
2018;1;579;0;4
2018;1;716;2875;29
2018;1;812;0;4
2018;1;815;0;1
2018;1;822;0;2
2018;1;873;0;4
2018;1;874;0;4
2018;1;1017;0;4
2018;1;1018;20729,81;78
2018;1;1025;-28063,3;37
2018;1;1104;110094,44;702
2018;1;1147;0;4
2018;1;1151;0;18
2018;1;1157;-225;0
2018;1;1177;0;1
2018;1;1181;0;4
2018;1;1183;57200;4
2018;1;1198;200;4
2018;1;1247;200;4
2018;1;1268;0;2
2018;1;1312;85;1
2018;1;1313;0;5
2018;1;1315;9450;27
2018;1;1318;200;5
2018;1;1338;750;9
2018;1;1352;1500;13
2018;1;1354;0;2
2018;1;1368;0;1
2018;1;1373;125;1
2018;1;1385;0;2
2018;1;1391;0;1
2018;1;1417;-225;0
2018;1;1452;-33266;-36
2018;1;1499;0;1
2018;1;1512;0;4
2018;1;1533;0;4
2018;1;1534;200;16
2018;1;1556;0;2
2018;1;1575;0;1
2018;1;1583;0;4
2018;1;1590;350;8
2018;1;1605;0;4
2018;1;1633;0;1
2018;1;1666;0;1
2018;1;1668;0;1
2018;1;1688;225;5
2018;1;1717;500;4
2018;1;1718;175;1
2018;1;1742;0;4
2018;1;1744;0;1
2018;1;1750;0;4
2018;1;1751;0;4
2018;1;1752;0;4
2018;1;1753;0;4
2018;1;1755;0;4
2018;1;1760;0;4
2018;1;1761;0;4
2018;1;1763;0;4
2018;1;1764;0;4
2018;1;1766;0;4
2018;1;1768;0;4
2018;1;1774;0;4
2018;1;1776;0;2
2018;1;1777;0;4
2018;1;1778;325;5
2018;1;1780;0;4
2018;1;1781;0;4
2018;1;1782;0;4
2018;1;1784;0;4
2018;1;1785;0;4
2018;1;1787;0;4
2018;1;1789;0;4
2018;1;1790;0;4
2018;1;1797;0;4
2018;1;1798;0;4
2018;1;1799;0;4
2018;1;1801;325;5
2018;1;1802;0;4
2018;1;1804;0;4
2018;1;1805;0;4
2018;1;1806;0;4
2018;1;1807;0;4
2018;1;1808;0;4
2018;1;1809;0;4
2018;1;1816;0;2
2018;1;1826;0;2
2018;1;1856;0;4
2018;1;1865;1885;59
2018;1;1919;0;1
2018;1;1922;0;3
2018;1;1929;0;3
2018;1;1938;4125;38
2018;1;1941;0;2
2018;1;1949;280;8
2018;1;1955;1040;37
2018;1;1973;500;4
2018;1;1974;325;3
2018;1;1975;0;2
2018;1;1981;0;1
2018;1;1999;0;1
2018;1;2021;0;1
2018;1;2024;0;1
2018;1;2025;0;2
2018;1;2045;0;1
2018;1;2066;0;1
2018;1;2071;0;3
2018;1;2078;0;2
2018;1;2080;0;21
2018;1;2120;500;5
2018;1;2127;0;3
2018;1;2162;0;1
2018;1;2165;0;2
2018;1;2167;0;1
2018;1;2171;0;1
2018;1;2174;0;2
2018;1;2176;0;8
2018;1;2183;1250;1
2018;1;2191;0;4
2018;1;2199;0;1
2018;1;2216;0;1
2018;1;2270;500;4
2018;1;2299;0;1
2018;1;2302;0;11
2018;1;2311;0;2
2018;1;2327;0;2
2018;1;2362;0;4
2018;1;2371;0;2
2018;1;2379;200;1
2018;1;2384;0;4
2018;1;2399;200;7
2018;1;2437;0;2
2018;1;2461;0;4
2018;1;2463;400;8
2018;1;2487;0;1
2018;1;2547;0;1
2018;1;2628;0;4
2018;1;2741;-225;0
2018;1;2760;140;4
2018;1;2773;200;4
2018;1;2783;0;25
2018;1;2812;680;8
2018;1;2813;-27915,48;17
2018;1;2863;0;1
2018;1;2877;0;4
2018;1;2878;0;4
2018;1;2884;0;4
2018;1;2907;0;1
2018;1;2908;0;1
2018;1;2909;-225;1
2018;1;2924;0;2
2018;1;3009;0;1
2018;1;3017;0;1
2018;1;3034;0;1
2018;1;3067;0;2
2018;1;3097;85;1
2018;1;3103;0;25
2018;1;3136;0;2
2018;1;3154;0;4
2018;1;3155;0;4
2018;1;3170;1650;27
2018;1;3178;0;1
2018;1;3189;180;7
2018;1;3190;0;1
2018;1;3194;500;7
2018;1;3207;200;3
2018;1;3210;0;1
2018;1;3243;0;1
2018;1;3248;0;1
2018;1;3259;0;5
2018;1;3281;0;1
2018;1;3296;0;1
2018;1;3299;-1520;-6
2018;1;3311;0;1
2018;1;3313;0;2
2018;1;3317;0;2
2018;1;3337;0;1
2018;1;3346;0;5
2018;1;3359;0;4
2018;1;3362;0;4
2018;1;3367;0;4
2018;1;3370;0;5
2018;1;3371;0;1
2018;1;3380;0;2
2018;1;3421;200;4
2018;1;3432;-500;2
2018;1;3444;51205,26;37
2018;1;3453;200;5
2018;1;3461;0;4
2018;1;3462;0;4
2018;1;3466;0;1
2018;1;3467;0;1
2018;1;3471;0;2
2018;1;3485;0;1
2018;1;3548;3375;27
2018;1;3562;0;2
2018;1;3614;0;1
2018;1;3634;0;1
2018;1;3635;0;1
2018;1;3646;0;1
2018;1;3656;0;4
2018;1;3677;0;1
2018;1;3686;0;1
2018;1;3700;0;7
2018;1;3701;1500;2
2018;1;3703;0;1
2018;1;3718;2991;5
2018;1;3767;0;5
2018;1;3778;0;2
2018;1;3781;0;5
2018;1;3795;0;2
2018;1;3802;0;5
2018;1;3803;0;5
2018;1;3804;0;4
2018;1;3806;0;19
2018;1;3807;0;11
2018;1;3809;-225;7
2018;1;3810;0;5
2018;1;3811;0;1
2018;1;3812;0;2
2018;1;3813;0;8
2018;1;3815;0;1
2018;1;3824;0;1
2018;1;3839;0;5
2018;1;3845;0;4
2018;1;3856;0;9
2018;1;3857;1150;1
2018;1;3858;1500;1
2018;1;3864;0;1
2018;1;3867;0;1
2018;1;3889;0;1
2018;1;3896;0;1
2018;1;3897;0;1
2018;1;3898;1500;1
2018;1;3905;10548;14
2018;1;3911;0;1
2018;1;3916;500;4
2018;1;3925;0;1
2018;1;3948;0;4
2018;1;3964;1604,2;11
2018;1;3965;0;1
2018;1;3972;16781;4
2018;1;3992;0;1
2018;1;3995;1500;12
2018;1;3999;-3522;3
2018;1;4006;0;1
2018;1;4010;500;4
2018;1;4034;0;1
2018;1;278;2806,28;2
2018;1;1468;1799,78;2
2018;1;1718;-2180,78;-1
2018;1;1787;4110,6;3
2018;1;1865;1299,34;2
2018;1;2278;3843,42;3
2018;1;2908;3456,54;2
2018;1;2973;5793,12;4
2018;1;3160;1794,41;1
2018;1;3259;5381,84;4
2018;1;3395;3728;8
2018;1;815;4281,72;2
2018;1;1338;2429,36;2
2018;1;1352;8095,52;4
2018;1;1368;959;2
2018;1;1688;1107,35;1
2018;1;1798;2280,28;4
2018;1;1922;1408,42;1
2018;1;1930;2328,32;2
2018;1;1947;14656;16
2018;1;1981;5528;8
2018;1;2050;1340,8;1
2018;1;2052;6357,3;4
2018;1;2165;2998,9;2
2018;1;2824;7146,16;4
2018;1;2909;13320;20
2018;1;2924;4933,76;2
2018;1;2957;2812,36;2
2018;1;3120;2546,36;2
2018;1;3343;3992;2
2018;1;3444;3463,52;4
2018;1;3452;3064;4
2018;1;3646;4044;4
2018;1;3654;9199,6;4
2018;1;3831;1832;2
2018;1;7;1166;1
2018;1;1871;1660;4
2018;1;2780;4980;12
2018;1;2812;4895,2;4
2018;1;3444;1649,3;2
2018;1;278;4978;4
2018;1;617;3928;8
2018;1;1423;1455;5
2018;1;1688;7802,2;6
2018;1;1692;3050,02;2
2018;1;1717;0;0
2018;1;1780;7544,64;3
2018;1;1865;4044;4
2018;1;1947;482;2
2018;1;2399;5095,96;4
2018;1;2557;2396,44;4
2018;1;2780;4092;12
2018;1;3103;1132;2
2018;1;3189;6915,4;4
2018;1;3395;12760;32
2018;1;3513;1464;4
2018;1;4006;1964;4
2018;1;1906;6298,56;4
2018;1;1974;1489,86;3
2018;1;2347;1840,9;2
2018;1;2919;946,22;2
2018;1;3403;687,4;1
2018;1;3801;3997,76;4
2018;1;631;2664;4
2018;1;1003;5328;8
2018;1;1225;482;2
2018;1;1385;2264;4
2018;1;1688;6792;12
2018;1;1930;3072,4;4
2018;1;1981;6192;12
2018;1;2021;2664;4
2018;1;2581;2664;4
2018;1;3784;1536,2;2
2018;1;1398;8515;4
2018;1;1778;-2060;-2
2018;1;1802;6571;4
2018;1;2803;2244,5;2
2018;1;3049;2583,5;2
2018;1;3444;5657,9;6
2018;1;308;9763,92;4
2018;1;453;37140;68
2018;1;1025;6953;8
2018;1;1496;1896;4
2018;1;1588;5688;12
2018;1;1665;31088;60
2018;1;1685;4520,72;4
2018;1;1688;6030;5
2018;1;1690;9496;18
2018;1;1692;4678,48;4
2018;1;1759;609,34;1
2018;1;1838;6033,62;4
2018;1;1865;9824;13
2018;1;1947;62414;60
2018;1;1974;3530,08;4
2018;1;1975;2004;4
2018;1;2021;56802,6;86
2018;1;2087;43124;72
2018;1;2127;10668;24
2018;1;2327;332;2
2018;1;2347;8578,36;9
2018;1;2800;2022,08;4
2018;1;3028;2608,36;2
2018;1;3046;1149,9;1
2018;1;3103;14688,32;26
2018;1;3189;5353,6;4
2018;1;3199;4418,64;4
2018;1;3257;18884;32
2018;1;3555;648,78;1
2018;1;3649;1742;4
2018;1;3794;3801,52;4
2018;1;3973;2365;4
2018;1;7;4489,52;4
2018;1;278;5457,72;4
2018;1;446;2628,32;4
2018;1;555;3671,84;4
